[neutral]	[12:01]	<Ranbee>	dcomsa: yeap, but i'm using irssi and it's not beeping so i might miss something if i look away lol
[neutral]	[12:01]	<AATDark>	LaszloKv, cedricshock: its because a friend tryed your config with /home and it worked for him
[neutral]	[12:01]	<mwe>	JoseStefan: mounted twice? do you have two swap partitions?
[negative]	[12:01]	<gabriela>	can someone helpme
[negative]	[12:01]	<M_Fatih>	hi, ubuntu not booting.. says `/dev/hda2 does not exists` and after `/bin/sh: can`t access tty; job control turned off` how can i boot.. i searched forums.. there too many users have this problem but there is no solution... i tired to try to fix this. :.....(
[neutral]	[12:01]	<SnakePliske1>	tusk, ive never cared for the nvidia drivers
[neutral]	[12:01]	<dcomsa>	Ranbee: pm
[negative]	[12:01]	<ross>	Hey, I just installed feisty.  The network manager app worked fine to start with, but I needed to check something with ifconfig.  After using ifconfig, the network manager doesn't work correctly( ie. no info on active connection )
[neutral]	[12:01]	<Tusk>	SnakePliske1, join the club...unfortunately what can I do?
[neutral]	[12:01]	<JoseStefan>	mwe, no just one 1.5gb (aprox)
[neutral]	[12:01]	<gabriela>	espaol
[negative]	[12:02]	<ross>	are there any records of this before?
[neutral]	[12:02]	<SnakePliske1>	uninstall?
[negative]	[12:02]	<Glos_WiFi>	hi, does anyone know how to load up the boot log? i saw a Bios Bug error message, but it then continued to load
[positive]	[12:02]	<mwe>	JoseStefan: what makes you think it's activated twice?
[negative]	[12:02]	<Tusk>	SnakePliske1, and do what? use no 3d?
[neutral]	[12:02]	<JoseStefan>	mwe, swapon -s
[neutral]	[12:02]	<gabriela>	what is the server in spanish
[negative]	[12:02]	<LaszloKv>	AATDark, cedricshock, Sorry I was disconnected.
[negative]	[12:02]	<Blubloblu>	"AATDark: ok, i get a message saying ""mount: wrong fs type, bad option, bad superblock on /dev/sda4, missing codepage or other error"", then ""type control-D to continue"""
[neutral]	[12:02]	<mwe>	JoseStefan: shows what, exactly?
[positive]	[12:02]	<nexact>	hello all, is it possible to enable XDMCP via ssh ? thanks.
[negative]	[12:02]	<SnakePliske1>	i dont use proprietary crap on linux....defeats the whole purpose
[neutral]	[12:02]	<cedricshock>	Glos_WiFi, bios messages you can't see, but everythin after linux starts can be viewed with the dmesg command.
[neutral]	[12:02]	<JoseStefan>	mwe, please hold...
[negative]	[12:02]	<Fringe4>	My video is stuck in 800x600 mode, and I can't update the video driver. It keeps saying there is an apt based error and then stopping.
[negative]	[12:02]	<LaszloKv>	AATDark, cedricshock, How did you say to connect using cmd?
[negative]	[12:03]	<AATDark>	Blubloblu and what happens if you try CNRL D ?
[negative]	[12:03]	<Tusk>	SnakePliske1, I understand that, but I want to have 3d support, so what options do I have beyond the Nvidia drivers?
[neutral]	[12:03]	<Glos_WiFi>	cedricshock: no its not a bios message, its a message that shows when linux starts, so il have a loog at dmesg then
[positive]	[12:03]	<darwin>	Can someone recommend a good, affordable printing for basic black and white document printing?
[negative]	[12:03]	<AATDark>	LaszloKv, cedricshock net use * \\ip\music\
[negative]	[12:03]	<Blubloblu>	it appears to load something, but screen goes black after
[negative]	[12:03]	<dcomsa>	shakya: how are you trying to install java?
[neutral]	[12:03]	<SnakePliske1>	that is your option
[positive]	[12:03]	<cedricshock>	"Glos_WiFi: ""dmesg | less"" makes it a lot more readable."
[neutral]	[12:03]	<LaszloKv>	AATDark, cedricshock, Type it exactly like that?
[neutral]	[12:03]	<JoseStefan>	mwe, @HLINK
[negative]	[12:03]	<Blubloblu>	AATDark: it appears to load something, but screen goes black after
[negative]	[12:04]	<Tusk>	SnakePliske1, lol, that's not a very good option...but ok
[negative]	[12:04]	<AATDark>	LaszloKv, cedricshock yeah * is to assing a free drive letter
[neutral]	[12:04]	<JoseStefan>	"mwe, free and top report: ""Swap:      2939872"""
[negative]	[12:04]	<exs>	I've heard feisty still does *not* have support for the bcm wifi cards... and nor does it have ndiswrapper included??.. BCM cards are the ones all macs have,  - that's a massive market.
[positive]	[12:04]	<Glos_WiFi>	k thanks
[negative]	[12:04]	<AATDark>	Blubloblu: is this your root device ? sd4 ?
[neutral]	[12:04]	<gabriela>	need help
[neutral]	[12:04]	<Blubloblu>	no
[negative]	[12:04]	<ohgood>	does ubuntu not support ppc ?
[neutral]	[12:04]	<Blubloblu>	AATDark: sd2 is
[neutral]	[12:04]	<PriceChild>	!ppc | ohgood
[positive]	[12:04]	<ubotu>	ohgood: PowerPC.  Formerly used by Apple for the Macintosh line of computers. Variants are now used in popular gaming consoles. PPC was a fully supported Ubuntu architecture up to and including edgy. It is now a community port, see @HLINK
[negative]	[12:04]	<mwe>	JoseStefan: hmm. check /etc/fstab. It sounds odd
[neutral]	[12:04]	<AATDark>	Blubloblu and what is sd4 ?
[neutral]	[12:04]	<dcomsa>	gabriela: with what?
[neutral]	[12:05]	<Ranbee>	dcomsa: i found the checksum here - @HLINK thanks
[neutral]	[12:05]	<JoseStefan>	mwe, my fstab is on the pastebin too
[neutral]	[12:05]	<tom_>	#ubuntu-effects
[negative]	[12:05]	<Blubloblu>	AATDark: i've been having problems with sd4 though, i mounted my /home directory on it, then i took it off. It's now empty
[positive]	[12:05]	<ohgood>	PriceChild, thanks, I appreciate that.
[positive]	[12:05]	<dcomsa>	Ranbee: glad to hear :)
[neutral]	[12:05]	<eck>	exs: i think a lot of the bcm fixes went into 2.6.21
[neutral]	[12:05]	<LaszloKv>	"AATDark, cedricshock, ""System error 53 has occured.  The network path was not found"""
[neutral]	[12:05]	<ohgood>	ubotu, good bot, have a cookie
[positive]	[12:05]	<Glos_WiFi>	aha thanks cedricshock, ive found it
[neutral]	[12:05]	<JoseStefan>	mwe, i have: ntfs/ext3/fat32/swap
[neutral]	[12:05]	<costas>	hello all
[neutral]	[12:05]	<laktek>	hi
[neutral]	[12:06]	<eck>	are going in rather
[positive]	[12:06]	<costas>	can anyone recommend an alternative feature packed terminal program
[neutral]	[12:06]	<shakya>	dcomsa: using add/remove programs
[neutral]	[12:06]	<gabriela>	hello i need help with my x server
[negative]	[12:06]	<AATDark>	Blubloblu: dont get it .. what do you mean by takin it off ?
[negative]	[12:06]	<gabriela>	i just can enter as  root mode
[neutral]	[12:06]	<Glos_WiFi>	has anyone heard of this error? BIOS BUG #81[49435000]  found
[negative]	[12:06]	<eck>	costas: what features are you looking for??
[neutral]	[12:06]	<Blubloblu>	AATDark: imoved /home back on to sd2
[neutral]	[12:06]	<gabriela>	does some1 readme?
[negative]	[12:06]	<Glos_WiFi>	just wondering
[neutral]	[12:06]	<costas>	tabs mainly
[negative]	[12:06]	<zilly6_>	how do i stop sound juicer from popping up on disc entry?
[negative]	[12:06]	<dcomsa>	gabriela: yes. why do you need to enter as root?
[neutral]	[12:06]	<costas>	eck: tabs mainly
[neutral]	[12:06]	<ohgood>	cool, I'm downloading the ppc iso now. thanks folks.
[neutral]	[12:07]	<penguin42>	TashKavarish: That log is odd - you can see it spitting the 1680 mode out but not explicitly the 1900
[neutral]	[12:07]	<AATDark>	LaszloKv, cedricshock: probalby a connection issue ?
[negative]	[12:07]	<costas>	eck: but anything else would be a benefit over xterm which has nothing at all really
[negative]	[12:07]	<gabriela>	4dcomsa: i can not see my desktop
[neutral]	[12:07]	<penguin42>	TashKavarish: However the fact that one gets spat out because of max dot clock is interesting
[neutral]	[12:07]	<eck>	costas: use gnome-terminal
[negative]	[12:07]	<JoseStefan>	mwe, doing swapoff -a, followed by swapon -a, fixes the problem until reboot
[negative]	[12:07]	<cedricshock>	costas? What do you mean by tabs? Tab completion?
[negative]	[12:07]	<gabriela>	is there a problem with the x sever
[negative]	[12:07]	<LsBlend>	can anybody help me with a problem i have on installing ubuntu 7.04?
[positive]	[12:07]	<dcomsa>	costas: press crtl+shift+t for a new tab
[negative]	[12:07]	<hollero>	what can i do to avoid that my windows partition is twice on the desktop (once as sda1 and once as IBM_PRELOAD)?
[neutral]	[12:07]	<AATDark>	Blubloblu: prabply taking a boot cd an trying chkfs ?
[negative]	[12:07]	<AATDark>	Blubloblu: or is it fschk ?
[negative]	[12:07]	<costas>	eck: I am not able to use that due to a bug with NVIDIA drivers and the xinerama option
[neutral]	[12:07]	<cedricshock>	LaszloKv, AATDark: Do you have gnome on your ubuntu computer?
[negative]	[12:08]	<Ranbee>	zilly6_: i don't use ubuntu i'm about to try it but it should be in gconf-editor
[negative]	[12:08]	<LaszloKv>	AATDark, cedricshock, Yeah.
[negative]	[12:08]	<Blubloblu>	AATDark: sorry, i dont understad
[neutral]	[12:08]	<AATDark>	LaszloKv, cedricshock i have  but currently im unter windows
