00:00	<ubuntuROX>	its waiting on you t accept it.
00:00	<f0rmat>	may i ask exactly who are the coders of ubuntu are they just everyone or anyone?
00:00	<cygoku>	goat|work ... Windows is not there at all anymore, I installed over it
00:00	<barslow>	x1250: wasnt able to actually get into ubuntu and I dont know enough terminal to diagnose
00:00	<oddalot>	ubuntoROX it won't let me send private msgs on this server, don't know if that will affect sending files as well
00:00	<RyanPrior>	matt____: If the LiveCD doesn't work, it's likely to be a graphics card driver problem.
00:00	<goat|work>	cygoku: oh
00:00	<Saladin>	Oh wow!
00:00	<ubuntuROX>	have an email address?
00:00	<Saladin>	Auto 3D windows
00:00	<PePa>	will I need to boot from the alt.CD, or can I just ...
00:00	<oddalot>	oddalot@yahoo.com
00:00	<maco>	PePa: no just have to mount it and add it as a repository
00:00	<goat|work>	cygoku: yes, then if you have,  sure
00:00	<tanath>	f0rmat, you can find more info about that on launchpad.net
00:00	<dragao-azul>	how can graphics card problems be solved in the live cd?
00:01	<Fishscene>	Who had the pink window problem in this screenshot? http://www.multigesture.net/wp-content/uploads/2008/04/screenshot.png
00:01	<f0rmat>	tanath, thankyou
00:01	<barslow>	RyanPrior: One last question, I have compiz and all my themes setup just the way I like them, will they stay the same after the uprgrade (I'm using AWN with modified Mac4lin and Compiz is all set perfect)
00:01	<matt____>	RyanPrior: perhaps...but 7.10 is working fine. how could i check/fix though? the live cd takes me to a "busybox", not a normal terminal.
00:01	<x1250>	barslow: /var/log/Xorg.0.log is the place to look, or ~/.xsession-errors
00:01	<goat|work>	cygoku: i wont be able to watch the channel, so if you have more q's message me
00:01	<arbrandes>	dragao-azul, use "safe graphics mode"
00:01	<glaxo>	tcpdumpgod, any advice?
00:01	<tanath>	barslow, should be no change
00:01	<cygoku>	goat|work ... Thank you, and sorry for my rudeness earlier
00:01	<barslow>	hmm
00:01	<PePa>	OK
00:01	<RyanPrior>	barslow: I'd just about bet that something will break and you'll spend hours reconfiguring things. Upgrades tend to mess with your stuff.
00:01	<dragao-azul>	abrandes, then how can i solve the problems? make my ati card work fine?
00:01	<PePa>	thanks Maco
00:01	<maco>	Fishscene: nvidia driver quality
00:01	<tcpdumpgod>	glaxo, did you answer my  last question?
00:01	<kilrae>	can you mount an encrypted lvm in Vista?
00:01	<tanath>	barslow, actually..
00:01	<oddalot>	i wonder how nerdy it would be if all these 1500 people where in a room at one time
00:01	<sileni>	he i installed build essential and tried to "make" but i get this error http://pastebin.com/m6dda8b39
00:02	<ubuntuROX>	there you go,, thats the one thats set for resolution auto,  it should work for you.
00:02	<tcpdumpgod>	glaxo, are you able to get a DHCP IP from the router?
00:02	<barslow>	ryanprior: im just gunna stick with gutsy then
00:02	<maco>	barslow: should stay, yes
00:02	<glaxo>	tcpdumpgod, no - i get "No DHCPOFFERS received"
00:02	<oddalot>	ok thanks, let me try it
00:02	<ubuntuROX>	modes anyhow
00:02	<barslow>	wow conflicting opinions
00:02	<tanath>	barslow, it may switch to the new default theme, but you can save your current theme/settings, and switch back after upgrade
00:02	<Jimdb>	matt___try a different CD reader...try adding ide=nodma on command line when you boot into the installer.
00:02	<RyanPrior>	oddalot: That's the Ubuntu Live conference. :-)
00:02	<laeg>	barslow: stick with gutsy forever?
00:02	<tcpdumpgod>	glaxo, do you know your routers ip address? 192.168.1.1?
00:02	<matt____>	RyanPrior: perhaps...but 7.10 is working fine. how could i check/fix though? the live cd takes me to a "busybox", not a normal terminal.
00:02	<sileni>	i dont understand how to change the flags
00:02	<glaxo>	tcpdumpgod, 192.168.0.1
00:02	<tanath>	barslow, i didn't have that problem though
00:02	<sileni>	like that error states
00:02	<barslow>	laeg: i dont want to but i dont wanna risk having to reformat my HD again
00:02	<tcpdumpgod>	glaxo, are you using KDE or Gnome?
00:02	<glaxo>	tcpdumpgod, gnome
00:02	<Fishscene>	Maco: it looked like the "mirror" or "shadow" (I forgot which) option in Compiz could fix that issue (Disabling the mirror or shadow effects)
00:03	<oddalot>	RyanPriot: Where is this ubuntu live conference?
00:03	<mohbana>	can i install ubuntu from a ntfs? without the wubi thing? i don't have a dvd to burn it on
00:03	<oddalot>	err when too
00:03	<maco>	barslow: your compiz settings will be saved.  there are more features in the new compiz though, so you might want to explore them after you upgrade
00:03	<basso>	I Love You All!
00:03	<tcpdumpgod>	glaxo, have you tried setting your IP to 192.168.0.100, your netmask to 255.255.255.0, and your gateway to 192.168.0.1?
00:03	<tanath>	barslow, there's always a risk when upgrading. personally, it fixed a lot of stuff for me, and i had minimal issues
00:03	<matt____>	RyanPrior: well, what would i search google for to fix this graphics card setting?
00:03	<glaxo>	tcpdumpgod, I have (with 192.168.0.200) as .100 is already taken
00:03	<tanath>	barslow, and none of my settings in anything changed
00:03	<ubuntuROX>	I think its faster than gutsy was.
00:03	<RyanPrior>	barslow: It's certainly possible that you could upgrade and have everything work perfectly - the Ubuntu developers certainly try hard to make that happen. You can't bet on it, though.
00:03	<Flannel>	mohbana: there are ways to install without burning, check it out: https://help.ubuntu.com/community/Installation
00:03	<tcpdumpgod>	glaxo, is 192.168.0.101 taken?
00:03	<oddalot>	brb
