[12:08]	<twobitsprite>	can someone please help me, I don't want to have to reinstall... :(
[12:33]	<Fillado>	dammit i can't decided between KDE of Gnome for Dapper :(
[12:34]	<_clem>	lmh: then it's lying !!! :(
[12:37]	<_clem>	yct: well.. I need to write a "month with Suse 10.1" article... so unfortunately my good laptop is taken... I'm gonna have to install Ubuntu on another machine in the meantime :((
[12:41]	<Mysta_>	RandolphCarter: I dont know if you remember my problem w/ the Radeon 7000, but I had to end up changing the driver again to vesa :(, but the server is for vmware so thats cool
[12:54]	<gnomefreak>	Seveas: cant go by that ubuntu has alot of users with 2-3 names in channels at all times :(
[12:55]	<pycs>	oh :(
[01:00]	<_clem>	Mark1412: astalavista.box.sk ...tsss.. :(
[01:26]	<Stormx2>	oh :(
[01:58]	<Stormx2>	:( But daadddyyyy
[02:02]	<bruce89>	:(
[02:10]	<[zero] >	:( I broke my pc
[02:15]	<guano>	well ... i guess i found out everything  need to know.. it won't be a midnight release :(
[02:23]	<guano>	hyperactivecrond :( i've been searching for a "misplaced" final iso ;)
[02:24]	<Stormx2>	I wanted Perky Penguin :(
[02:26]	<rixxon>	don't tell me unability to extract a rar archive will be the reason i switch back to windows :(
[02:40]	<[zero] >	so i wont be using it :(
[03:23]	<chapium>	dapper was a horrible upgrade for me, it enticed me to mess with things i shouldn't.  Like xgl.  Now my gdm is screwed :(
[04:03]	<Saj>	:(
[04:10]	<Saj>	:(
[04:21]	<Saj>	:(
[04:25]	<Saj>	cuz ur right guys, itl take hours:( + the system will be jam acked with breezy users upgrading lol
[04:38]	<Warbo>	"Epiphany has quit unexpectedly" every time I load it :(
[05:44]	<earthen_>	pike__, :( O well
[06:06]	<grv>	im disappointed:(
[06:39]	<shrewd>	Bilford: thanks for that, i'll wait :(
[06:57]	<grv>	i dont think anyone knows hisakasex:(
[06:59]	<Saj>	but thats a dream for now:(
[07:05]	<vinboy>	Saj: x2 is expensive :(
[07:27]	<Viaken>	Hentai_Jeff: They are? I was wondering why the latest version didn't get released on Linux. :(
[07:39]	<Saj>	viaken: :(
[07:44]	<grv>	does cedega really not work on pb:(?
[07:53]	<rendo>	If someone renamed an XP install iso to an ubuntu install iso and someone went to install it and installed windows :(
[08:01]	<Linuturk>	:(
[08:24]	<crimsun>	Seveas: :((
[08:27]	<Saj>	:(
[08:40]	<JoseStefan>	khermans: don't know perl :(
[08:42]	<Phlosten>	aww no party near me :(
[09:01]	<VR_>	i hate that dapper splashscreen on bootup :(
[09:08]	<JoseStefan>	Seveas: don't have salmon :(
[09:09]	<mejobloggs>	my IP blocks torrents !! :(
[09:24]	<paniq>	:(
[09:33]	<JoseStefan>	:(
[09:33]	<ubuntubes>	scheuri : so when I log off windows xp then type in the users username n password, then it cannot.. :(
[10:57]	<JoseStefan>	he just haves to set +l to 1499 :(
[10:58]	<K|NgGh0sT>	Burgundavia: doesnt help when I'm having issues now :(
[11:10]	<Ed_L>	5 :(
[11:23]	<netgrabber>	hi ubuntu-6.06-desktop-i386.jigdo is missing :(
[11:41]	<Chousuke>	kbrooks: I just happen to have ~1MB/s upload... the limits just suck :(
[11:42]	<Celestar>	Seveas: pity :(
[11:48]	<agwibowo>	only 6 seeds at the moment... :(
[11:48]	<speedsix>	khermans I'm getting errors with the command line transcode so I think a frontend would fail still :(
[12:19]	<Celestar>	:(
[12:30]	<uccoffee_loves_B>	[ajmitch_] : no scan result :(
[12:43]	<derfbugzi>	there are no seeders for the dvd at the moment :(
[12:52]	<kayde>	thoreauputic, :(
[12:55]	<ThE-LiGhT>	onkarshinde, i need more 379 mb :(
[01:22]	<rixth>	Torrent is slow :(
[01:23]	<rob>	Xore, fun and profit? :(
[01:36]	<dodgyvile>	thoreauputic: I had to reconnect to irc.freenode.org :(
[01:49]	<uccoffee_loves_B>	:(
[02:11]	<pettman>	it is 4 hours before I even can start installing :(
[02:12]	<Chousuke>	:(
[02:14]	<threat>	50Kb from the xubuntu site :(
[02:28]	<noodle>	how do i reclaim my firefox icon.. was about to read the forum post before it died :(
[02:47]	<tubbie>	installing xp in qemu is so slow :(
[03:07]	<tanek>	wierd... mine does not work good at all :(
[03:07]	<Most_Wanted>	those mirrors are too slow :(
[03:17]	<rackerz>	i know how to install stuff myself, just takes me ages :(
[03:41]	<rixxon>	i broke ubuntu :(
[03:41]	<rixxon>	grimboy: probably? im always here. i have no life. :(
[03:42]	<mauti>	Celestar: thanks but i am downloading ISOs. Bittorrents are taking twice the time :(
[03:54]	<spafbnerf>	??? wtf ? :(
[03:56]	<Celestar>	installation is SLOW :(
[04:02]	<Madeye>	MacSlow, few moment for 19mb ? you must be lucky dude, I live with 512 only :(
[04:22]	<rackerz>	The Totem Plugin Could Not Startup : Could not establish connection to sound server - can someone help me here? :(
