12:00	<coucho>	lol
12:00	<sybariten>	holy bananas
12:00	<sybariten>	you were right amphi
12:00	<sybariten>	amphi: merci!
12:00	<jayrod06>	see guys this is why i need the quicktime aac encoder
12:00	<jayrod06>	http://www.rjamorim.com/test/aac128v2/plot12z.png
12:01	<jayrod06>	look at how much better it is then faac
12:01	<colliier88>	how do i install belkin f5d7001 on ubuntu
12:01	<sybariten>	i had like 400 megs in there ... how the kfcu is one supposed to know where to look for files moved to thrash? cause its not visible from the desktop or so, is it?
12:01	<darwin188>	hello, i need some help with ubuntu
12:01	<darwin188>	i just installed it to a powermac and I am getting an error message saying that the xserver cant start
12:01	<amphi>	sybariten: I'd have thought so; I don't use gnome
12:01	<colliier88>	how do i install belkin f5d7001 on ubuntu
12:02	<hedrek>	!amarok
12:02	<ubotu>	I guess amarok is a music player for Linux and Unix with an intuitive interface. See http://amarok.kde.org ; amaroK's features: http://amarok.kde.org/content/view/51/1/
12:02	<sybariten>	amphi: neither would i... if i was sure i wouldnt lose stuff by changing
12:02	<colliier88>	how do i install belkin f5d7001 on ubuntu
12:02	<amphi>	sybariten: lose stuff?
12:02	<I_Love_DRM>	Isn't the "thrash can" on the bootom right? next to the 4 desktop screen selectors.
12:02	<Amin>	!bash
12:02	<ubotu>	For a list of basic commands, see https://wiki.ubuntu.com/BasicCommands
12:02	<Amin>	!init
12:02	<ubotu>	Init is how Ubuntu starts up misc. system services at boot time.  To control the services, please install the package "BUM" from "Universe" Repository
12:02	<sybariten>	amphi: you know ... uh .. the terminal here in gnome has tabs, and it has choices to change char emulation instantly. could i do that under xfce, etc etc
12:02	<sybariten>	loose stuff like that
12:03	<jayrod06>	!Aac
12:03	<ubotu>	methinks aac is read http://wiki.ubuntu.com/RestrictedFormats for information about aac support
12:03	<crazy_penguin>	night all! // jo ejt!
12:03	<AlwaysIcey>	Yep. I was just about to mention that I_Love_DRM.
12:03	<colliier88>	how do i install belkin f5d7001 on ubuntu
12:03	<amphi>	sybariten: guess so; just use gnome-terminal I suppose; I use mrxvt for tabbed xterms
12:03	<sybariten>	I_Love_DRM: you have a thrashcan there ?
12:03	<darwin188>	i just installed ubuntu to a powermac and I am getting an error message saying that the xserver cant start
12:03	<darwin188>	can anyone help me out?
12:03	<AlwaysIcey>	I do too.  it looks like a calculator on my screen, but it's a trash can.
12:03	<cr1mson>	How do I correct 'dpkg-deb: subprocess paste killed by signal (Broken pipe)' ?
12:03	<sybariten>	amphi: but i couldnt use gnome-terminal under antyhing but gnome could i
12:04	<amphi>	darwin188: you need to mess with sudo dpkg-reconfigure xserver-xorg I guess
12:04	<nelisa>	hey folks, newcommer here
12:04	<amphi>	sybariten: why not?
12:04	<cr1mson>	I'm trying to install glibc
12:04	<darwin188>	and then?
12:04	<colliier88>	how do i install belkin f5d7001 on ubuntu
12:04	<CLAUDIA>	hola
12:04	<amphi>	sybariten: AFAIK it's a standalone prog (albeit with a lot of shared lib deps probably)
12:04	<CLAUDIA>	alguien que sepa de linux que me ayude
12:04	<Old>	"rpm -U webmin-1.260-1.noarch.rpm" - this command doesnt seem to work for me, any ideas of how to use a. rpm file?
