[12:12]	<^_^>	this name is taken :(
[12:15]	<RandolphCarter>	hmm, so it can't be missing the nvidia kmod :(
[12:17]	<varunvarde2007>	:(
[12:27]	<Nintendud>	:(
[12:29]	<HellDragon>	:(
[12:30]	<Nintendud>	RandolphCarter: :(
[12:34]	<Nintendud>	:(
[12:46]	<HellDragon>	can anyone help me :(
[12:47]	<HellDragon>	:((((((((((((((
[12:47]	<Knorrie>	HellDragon: you're a dragon from hell, you shouldn't :(((((((
[12:52]	<RandolphCarter>	ack, no it won't, you need -F 32 :( (my bad)
[12:53]	<Nintendud>	:(
[12:54]	<Nintendud>	same problem :(
[12:54]	<Nintendud>	:(
[12:57]	<Nintendud>	I really want to get mplayer back :(
[12:58]	<Nintendud>	amphi: aww. :(
[01:11]	<maike-maus>	soundray: network / internet doesn't want to work :(
[01:15]	<HellDragon>	:(
[01:29]	<Nintendud>	I can't win :(
[02:35]	<knoppix_>	:(
[03:13]	<HellDragon>	:(
[03:50]	<Old>	I cant, it's annoying :((
[05:58]	<linux_newbie2>	Managu: they both fail when installing the base system :(
[07:18]	<amphi>	rob138: couldn't get it to work here :(
[07:27]	<HellDragon>	::(
[08:11]	<T`>	anyone know how to turn the fan off on a laptop? its ALWAYS on for me :(
[08:55]	<HellDragon>	:(
[09:00]	<HellDragon>	:(
[11:48]	<monteiro>	all programs related to gnome, are printing always in "normal" quality, i've configured cups in  gnome to print "draft", xpdf prints draft, but not all the applications :(, anyone how to solve this?
[11:56]	<johannes_erik>	grrr serious problems routing eth0 traffic to pp0 , done all the nat set up and setup masq, tcpdump shows traffic from the network but not that traffic moved onto the internet ppp0 :( any advice?
[11:59]	<spikeb>	not me :(
[01:10]	<johannes_erik>	brn ok sry , seems gcc is at fault :(
[01:51]	<johannes_erik>	trym hmm i dont think so :(
[01:53]	<johannes_erik>	trym think u have to build it in and compile :(
[02:31]	<Tenshi>	hyphenated, and they get ugly really quickly :(
[02:37]	<Evanescent>	but it's mainly based in windows :(
[04:05]	<mauricio>	es que me estan diciendo que me vaya a un salon de spanol :(
[04:06]	<gnomefreak>	ubotu sorry :(
[04:15]	<Corey>	I had to delete my windows partion ! :( !
[05:18]	<Yannig>	(ups, forget it :()
[05:26]	<papillon>	rubso, My battery on Ubuntu don't last more than 1h, and on W$ it works more than 2 :( I wish to know if there is a good app for power save :D
[05:36]	<disu>	:(
[06:23]	<g0dchild>	anyt help would be greatly appreciated- i've been at it now for almost a week :(
[07:02]	<rafal_>	hello, I deletes garbage from pulpit :( - where can I get him back?
[08:00]	<tanek>	is the useless synaptics touchpad support just something u have to live with? :(
[08:15]	<Pyru>	:(
[08:22]	<cjfp>	Flannel: and I don't know how to get it :(
[08:37]	<plbgnr>	does anybody use irda port (usb to irda device)  ? I can see my mobile phone in irdadump output, but, can't find software for further work :(
[09:10]	<gnomefreak>	:(
[09:24]	<acke>	Maybe i can rotate the screen to get to the controlls on the bottom.. :(
[09:34]	<LinuxJones>	abrar, it's listed in my startup programs, dunno what to tell you :(
[10:28]	<galo>	hmm, i followed the instructions from java-sun and doesn't work :(
[11:00]	<hmm>	okay okay, but u have to admire the easy structure of the page, sorry but i had a look at the official guides :(
[11:02]	<gnomefreak>	Madpilot: sorry he had to leave :(
[11:12]	<gnomefreak>	Arrick: not much longer :(
[01:07]	<aqui1a>	if by repos, you mean 'Adept', i cant see it :(
[01:23]	<spikeb>	there's no IBM debs for PPC in multiverse :(
[02:32]	<Aqua>	i dont' have the patience for linux :(
[03:17]	<tsume>	frantic: I don't...  :(
[03:17]	<tsume>	frantic: I don't know what ubuntu does, but it does it wrong :(
[04:37]	<Desh>	slavik: how would I open it? It says I do not have permission. :(
[04:51]	<katie_>	is there a way to get the lexmark x74 scanner to work in ubuntu? :(
[05:02]	<katie_>	frozen bubble has no sound :(
[05:03]	<slavik>	katie_: don't have the time :(
[05:09]	<wizzlefish>	awww man! The Uncyclopedia says that Ubuntu is gay :(
[05:17]	<slavik>	ry, I am not the kernel expert :(
[05:19]	<slavik>	ry, this is why I feel said (I don't know :()
[05:23]	<katie_>	guess ill have to uninstall ubuntu :((
[05:23]	<katie_>	katie_;  wont work with my printer scanner :((
[05:25]	<katie_>	slavik:  they have a linux development kit for 3 printers out of 100 :(
[05:26]	<slavik>	katie_: I would suggest hp but I doubt it's an option :(
[05:27]	<katie_>	tritium: nope printer not listed there :(
[05:27]	<katie_>	tritium:  and i got everything else working too :(
[05:45]	<slavik>	ray_: no idea ... no nvidia cards here :(
[06:17]	<anjin_>	Can anybody help me get K3b working properly?  When I try to burn, I get permission errors.  "Cdrecord has no permission to open this device".  I've tried changing permissions in K3bsetup .. didn't seem to work :(
[06:24]	<anjin_>	Can anybody help me get K3b working properly?  When I try to burn, I get permission errors.  "Cdrecord has no permission to open this device".  I've tried changing permissions in K3bsetup .. didn't seem to work :(
[06:32]	<anjin_>	DIdn't work :(
[06:35]	<Dr_Willis>	lwizardl,  if ya have a pwoer failure.. ya box may not boot all the way to ssh. :( that was my prob last week when i had a power outage.. had to plug in a monitor/keyboard to see what was going on
[06:36]	<anjin_>	Can anyone help me get K3b to work properly?  When I try to burn, I get "CDrecord has no permission to open this device".  I tried adding my account to the cdrom group... but that didn't work.  Any suggestions?  The default burning software in Ubuntu doesn't do everything I need it to :(
[06:39]	<anjin_>	Can anyone help me get K3b to work properly?  When I try to burn, I get "CDrecord has no permission to open this device".  I tried adding my account to the cdrom group... but that didn't work.  Any suggestions?  The default burning software in Ubuntu doesn't do everything I need it to :(
[06:41]	<anjin_>	Can anyone help me get K3b to work properly?  When I try to burn, I get "CDrecord has no permission to open this device".  I tried adding my account to the cdrom group... but that didn't work.  Any suggestions?  The default burning software in Ubuntu doesn't do everything I need it to :(
[06:43]	<dli>	DJ_Danni, don't repeat :( this is an english channel anyway
